Amplifier_dev_AF6490_Eight_Sec_Power_Consumption,Lamp__D3237E_Eight_Sec_Power_Consumption,Lamp_dev_D331DA_Eight_Sec_Power_Consumption,Monitor-TFT_dev_599185_Eight_Sec_Power_Consumption,Monitor-TFT_dev_B81109_Eight_Sec_Power_Consumption,Multimediacenter_dev_AF6495_Eight_Sec_Power_Consumption,PC-Desktop_dev_59ADA7_Eight_Sec_Power_Consumption,PC-Desktop_dev_7296D7_Eight_Sec_Power_Consumption,PC-Laptop_dev_B1B603_Eight_Sec_Power_Consumption,Refrigerator_dev_599393_Eight_Sec_Power_Consumption,Refrigerator_dev_B7E6F4_Eight_Sec_Power_Consumption,Subwoofer_dev_5534A4_Eight_Sec_Power_Consumption,TV-LCD_dev_B8121D_Eight_Sec_Power_Consumption,TV-LCD_dev_D33097_Eight_Sec_Power_Consumption,USBHarddrive_dev_B7DF96_Eight_Sec_Power_Consumption,USBHub_dev_B83B9E_Eight_Sec_Power_Consumption,VideoProjector_dev_B814A6_Eight_Sec_Power_Consumption
0.0,0.0,1.0,0.0,0.0,0.0,0.015459534668,0.89425652217,0.732567049808,0.783616488871,0.0,0.0,0.0,0.0,0.854139290407,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.015459534668,0.892768574546,0.727969348659,0.777492427236,0.0,0.0,0.0,0.0,0.854139290407,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.015459534668,0.892768574546,0.727969348659,0.770117213223,0.0,0.0,0.0,0.0,0.854139290407,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.015459534668,0.892768574546,0.727969348659,0.0587383116028,0.406618705036,0.0,0.0,0.0,0.854139290407,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.015459534668,0.894157325662,0.71877394636,0.0,0.932086330935,0.0,0.0,0.0,0.854139290407,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.015459534668,0.892768574546,0.727969348659,0.0,0.892086330935,0.0,0.0,0.0,0.854139290407,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.015459534668,0.892768574546,0.722988505747,0.0,0.873237410072,0.0,0.0,0.0,0.854139290407,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.015459534668,0.892768574546,0.727969348659,0.0,0.554964028777,0.0,0.0,0.0,0.854139290407,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.015459534668,0.892768574546,0.727969348659,0.0,0.0,0.0,0.0,0.0,0.896846254928,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.015459534668,0.892768574546,0.727969348659,0.0,0.0,0.0,0.0,0.0,0.871879106439,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.015459534668,0.892768574546,0.727969348659,0.0,0.0,0.0,0.0,0.0,0.854139290407,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.015459534668,0.892768574546,0.727969348659,0.0,0.0,0.0,0.0,0.0,0.842312746386,0.0,0.0
